epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
70,0.000079,0.000027,0.001299,0.3597,0.2843,0.1372,0.000000,-0.000000,0.003315,0.0000,0.0000,8.00,400,0.3597
71,0.000058,0.000009,0.001233,0.7869,0.2249,0.1042,0.000000,-0.000000,0.001715,0.0000,0.0156,8.00,408,0.7869
72,0.000053,0.000006,0.001176,0.4540,0.3942,0.0660,0.000000,0.000000,0.001245,0.0000,0.0000,8.00,416,0.4540
73,0.000056,0.000007,0.001221,0.6972,0.2895,0.0573,0.000000,-0.000000,0.001853,0.0000,0.0156,8.00,424,0.6972
74,0.000061,0.000015,0.001145,0.5715,0.3414,0.1111,0.000000,-0.000000,0.001596,0.0000,0.0156,8.00,432,0.5715
75,0.000054,0.000005,0.001243,0.5791,0.3767,0.0694,0.000000,-0.000000,0.001393,0.0000,0.0000,8.00,439,0.5791
76,0.000065,0.000011,0.001356,0.6021,0.3372,0.0903,0.000000,-0.000000,0.001864,0.0000,0.0000,8.00,447,0.6021
77,0.000056,0.000004,0.001306,0.4945,0.3684,0.0729,0.000000,-0.000000,0.001144,0.0000,0.0000,8.00,455,0.4945
78,0.000054,0.000003,0.001288,0.6187,0.2731,0.0382,0.000000,-0.000000,0.001425,0.0000,0.0625,8.00,463,0.6187
79,0.000062,0.000004,0.001457,0.5013,0.3770,0.0660,0.000000,-0.000000,0.001696,0.0000,0.0312,8.00,471,0.5013
80,0.000055,0.000004,0.001256,0.6334,0.3582,0.0365,0.000000,-0.000000,0.001147,0.0000,0.0000,8.00,479,0.6334
81,0.000055,0.000002,0.001328,0.5098,0.3280,0.0677,0.000000,0.000000,0.001740,0.0000,0.0156,8.00,487,0.5098
82,0.000067,0.000006,0.001513,0.4990,0.3252,0.0538,0.000000,0.000000,0.001941,0.0000,0.0000,8.00,495,0.4990
83,0.000052,0.000003,0.001224,0.5296,0.3836,0.0660,0.000000,0.000000,0.001213,0.0000,0.0469,8.00,503,0.5296
84,0.000052,-0.000001,0.001331,0.5579,0.3546,0.0365,0.000000,-0.000000,0.001311,0.0000,0.0000,8.00,511,0.5579
85,0.000047,0.000002,0.001122,0.5744,0.3425,0.0347,0.000000,-0.000000,0.001165,0.0000,0.0000,8.00,519,0.5744
86,0.000057,0.000002,0.001373,0.4601,0.3435,0.0590,0.000000,-0.000000,0.001405,0.0000,0.0000,8.00,527,0.4601
87,0.000054,-0.000000,0.001352,0.6097,0.2914,0.0556,0.000000,-0.000000,0.001191,0.0000,0.0625,8.00,535,0.6097
88,0.000059,0.000004,0.001375,0.6256,0.3314,0.0642,0.000000,-0.000000,0.001465,0.0000,0.0156,8.00,543,0.6256
89,0.000059,0.000004,0.001390,0.5259,0.3824,0.0734,0.000000,0.000000,0.001569,0.0000,0.1406,8.00,551,0.5259
90,0.000053,0.000002,0.001277,0.4901,0.2913,0.0590,0.000000,0.000000,0.002586,0.0000,0.0469,8.00,559,0.4901
91,0.000082,0.000025,0.001429,0.5543,0.3755,0.1233,0.000000,-0.000000,0.003594,0.0000,0.0000,8.00,567,0.5543
